canonical_player_id,source,source_player_id,player_name,tour,match_external_id
73314,flashscore,lWQ3G6gB,Cerundolo F.,ATP,zqg4WAIP
63777,flashscore,AXL5qpKa,Etcheverry T. M.,ATP,zqg4WAIP
73315,flashscore,dd8jLjtO,Baez S.,ATP,nu885Twp
80471,flashscore,jeXTxMIp,Darderi L.,ATP,nu885Twp
45153,flashscore,nLoK5syL,Fritz T.,ATP,EXCGDx1n
24185,flashscore,UH09iaZ6,Cilic M.,ATP,EXCGDx1n
52380,flashscore,zXddgn9o,Shapovalov D.,ATP,WQnmRMNH
81308,flashscore,QNuG0Gzb,Shelton B.,ATP,WQnmRMNH
71493,flashscore,EZgZ9Xfh,De Minaur A.,ATP,E5AixTin
71216,flashscore,O4ywE5Ah,Humbert U.,ATP,E5AixTin
41280,flashscore,CzXh4LAb,Bublik A.,ATP,xxe6CSXp
71211,flashscore,t0WN9vR6,Auger-Aliassime F.,ATP,xxe6CSXp
25366,flashscore,neAMoGXa,Nishioka Y.,ATP,I5Bx63YP
80620,flashscore,zJqvgzz6,Wong C.,ATP,I5Bx63YP
71270,flashscore,IHCZRRUJ,Wu Y.,ATP,MZLVfwQO
83465,flashscore,8ASNvPfK,Smith C.,ATP,MZLVfwQO
80473,flashscore,O4aHjdoE,Schoolkate T.,ATP,QBOjr0tJ
80537,flashscore,hn8XQkiU,Cassone M.,ATP,QBOjr0tJ
79471,flashscore,IiUa42eG,Svajda Z.,ATP,tdKFbLQa
79330,flashscore,vynGYhMa,Draxl L.,ATP,tdKFbLQa
30531,flashscore,f9eT4NTQ,Mmoh M.,ATP,E9INdaeC
79225,flashscore,dCvHbO15,Hijikata R.,ATP,E9INdaeC
78705,flashscore,QcT8wHe4,Svrcina D.,ATP,ll280sdm
71922,flashscore,vDue624T,Mejia N.,ATP,ll280sdm
84855,flashscore,86URR6MP,Willwerth B.,ATP,IoLrpMB6
71858,flashscore,AXSokF3b,Shimabukuro S.,ATP,IoLrpMB6
71654,flashscore,OGLM2tDB,Walton A.,ATP,WUMznrsf
53407,flashscore,jNRjAU1U,Moreno De Alboran N.,ATP,WUMznrsf
30410,flashscore,biuyCvl4,Halys Q.,ATP,WO5oR2qo
78579,flashscore,EDve8Ljh,Alkaya M.,ATP,WO5oR2qo
81528,flashscore,Es82hMVD,McCabe J.,ATP,0tFFWOLN
42778,flashscore,2uDohcK5,Choinski J.,ATP,0tFFWOLN
79489,flashscore,AimJEnvL,Mochizuki S.,ATP,dp6vmp64
84900,flashscore,KrwvlzXb,Al-Sulaiti G.,ATP,dp6vmp64
45796,flashscore,vD0zNRBM,Vukic A.,ATP,OIhXl6yh
24683,flashscore,O2CmIROi,Herbert P.,ATP,OIhXl6yh
24883,flashscore,Kb8ttRy2,Basilashvili N.,ATP,WxLFtHue
30151,flashscore,GhVfMwlD,Ymer E.,ATP,WxLFtHue
73472,flashscore,hnYnFaTm,Virtanen O.,ATP,86bQwtTj
24758,flashscore,CYvP71IU,Carreno-Busta P.,ATP,xO7fq25T
81939,flashscore,W8WmcXdq,Bennani R.,ATP,xO7fq25T
24431,flashscore,G0X2O6XR,Trungelliti M.,ATP,YqjC1qLc
45079,flashscore,dQJqWoGg,Harris B.,ATP,YqjC1qLc
25099,flashscore,hj8fIZPg,Carballes Baena R.,ATP,vV28rwBr
30143,flashscore,CzqMZAAA,Miedler L.,ATP,vV28rwBr
25282,flashscore,SptFeDiE,O'Connell C.,ATP,4A9noOzH
81473,flashscore,ETojuYQP,Faria J.,ATP,U7Pz1aHt
30747,flashscore,W24W9IyU,Jarry N.,ATP,U7Pz1aHt
80495,flashscore,SU8MMreH,Moller E.,ATP,Y3YBpvXa
80070,flashscore,6iHVMexn,Passaro F.,ATP,Y3YBpvXa
45454,flashscore,j3oO3m94,Pellegrino A.,ATP,EekRtdWO
80358,flashscore,ENPUiYgk,Gaubas V.,ATP,EekRtdWO
73569,flashscore,GKJCcXKk,Tseng C. H.,ATP,O8X6gZFU
46058,flashscore,SlYNMbDS,Marcondes I.,ATP,O8X6gZFU
25149,flashscore,fkLRaqYe,Dellien H.,ATP,6VoJrI1C
24536,flashscore,bJf33z45,Lajovic D.,ATP,6VoJrI1C
37758,flashscore,YqLucTlj,Vallejo D.,ATP,GrUbeeoI
25280,flashscore,U5RiWEZu,Monteiro T.,ATP,GrUbeeoI
42705,flashscore,jgzV6009,Galan D. E.,ATP,xYSrawng
81187,flashscore,YcluY2Zi,Prizmic D.,ATP,xYSrawng
63551,flashscore,Ewzudtxk,Barrios Vera T.,ATP,rVVjcHG5
79257,flashscore,4vuKo3sT,Boscardin Dias P.,ATP,rVVjcHG5
99004,flashscore,AqVez8TJ,Muchova K.,WTA,rcC7Gt66
124373,flashscore,Or4Qa1ye,Mboko V.,WTA,rcC7Gt66
105922,flashscore,Cjagsdf4,Baptiste H.,WTA,INIvcbyK
155575,flashscore,WUQY7p9b,Sramkova R.,WTA,INIvcbyK
105560,flashscore,rsErY1Yt,Erjavec V.,WTA,d6V5oUcd
105324,flashscore,K25VJT7h,Uchijima M.,WTA,d6V5oUcd
100780,flashscore,boU2UKtN,Rakhimova K.,WTA,48noz1fJ
115768,flashscore,WSCEkk6I,Seidel E.,WTA,48noz1fJ
105446,flashscore,ra7IoKGO,Stearns P.,WTA,O81f95K6
155449,flashscore,YsJXLo1O,Ruse G.,WTA,O81f95K6
98948,flashscore,S4ljFw3g,Birrell K.,WTA,6mcsKMYO
105373,flashscore,vw1oqIPi,Volynets K.,WTA,6mcsKMYO
155539,flashscore,W6pL8zuB,Frech M.,WTA,YLBnAShm
104783,flashscore,MysmW1jf,Gracheva V.,WTA,YLBnAShm
105612,flashscore,pA0aW3EL,Cocciaretto E.,WTA,CIVZEafL
105343,flashscore,pQGynuhR,Zakharova A.,WTA,CIVZEafL
107559,flashscore,nFb01JTe,Kartal S.,WTA,jTlNrk4d
155390,flashscore,S6JNQ85M,Sasnovich A.,WTA,jTlNrk4d
